Rank,Title,Year,Predicted_Rating,Recommendation_Score,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Award_Count,Awards,Writer,Actors,Plot,Language,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
36,Moving,1988,5.25,0.312,R,R,04 Mar 1988,89 min,89,Comedy,Comedy,Unknown,0,6.1,6695,36,1,1 nomination total,Andy Breckman,"Richard Pryor, Beverly Todd, Stacey Dash","Meet Arlo Pear! He's a family man with a loving wife, a rebellious daughter, twin sons, and a half-dead dog, he's also got a nice job with the city in New Jersey. He's a mass transit engineer. But one day Arlo is fired so he must try to get another job. He finds a similar one to his old one, except it's in Boise, Idaho. Sounds good to Arlo, so he can finally get away from his insane neighbor who has a lawn mower the size of Pennsylvania. Only problem, how to break it to the family? The decision is soon made: they're moving. Now they've got to sell their house which has hilarious results, so now they need to get movers. Two former cons now movers show up with King Kong Bundy. Now, they gotta find a new house in Idaho. They soon find their dream house, so they return to New Jersey and head off to Boise. Arlo hires a man (Dana Carvey) to drive his SAAB to Idaho, not knowing he's a man of eight personalities. And if that isn't bad enough, their new house is not what they expected, and their neighbor in New Jeresey's twin brother lives next door and he's got a gigantic mower also. And as if things couldn't get any worse, they do. Arlo loses his new job and the movers never showed up. So now it's time for Arlo to kick some serious A$$!",English,tt0095662,movie,N/A,"$10,815,378",N/A,funny,fast,conventional,"family, justice",male,surreal,neutral,minimal,original,medium,minimal,low,0,0,0,0,0,0,1,0,0,0,0,0,0
37,Mädchen in Uniform,1931,6.69,0.46,Passed,Passed,27 Nov 1931,87 min,87,"Drama, Romance",Drama,Romance,0,7.6,3871,0,1,4 wins,"Christa Winsloe, Friedrich Dammann, Colette","Dorothea Wieck, Hertha Thiele, Emilia Unda",German film in which a sensitive girl is sent to an all-girls boarding school and develops a romantic attachment to one of her teachers. One of the earliest narrative films to explicitly portray homosexuality.,"German, French, English",tt0022183,movie,N/A,N/A,N/A,emotional,fast,intimate,general,female,linear,neutral,minimal,original,low,minimal,low,1,0,0,0,0,1,0,0,0,1,0,0,0
38,Natsu no niwa: The Friends,1994,5.98,0.379,N/A,N/A,09 Apr 1994,113 min,113,"Comedy, Drama",Comedy,Drama,0,7.2,202,0,1,3 wins,"Kazumi Yumoto, Yôzô Tanaka","Rentarô Mikuni, Naoki Sakata, Yasutaka Oh","A delightful and moving coming-of-age story. One summer, three young boys take an increasing interest in an eccentric old man who lives alone in a house surrounded by an overgrown garden. The boys form a bond with the recluse and set about weeding and replanting the garden.",Japanese,tt0110630,movie,N/A,N/A,N/A,"funny, emotional",fast,intimate,general,male,linear,neutral,growth,original,low,minimal,low,0,0,0,0,0,1,1,0,0,0,0,0,0
39,Near Orouet,1971,6.02,0.381,N/A,N/A,27 Sep 1973,150 min,150,"Comedy, Drama",Comedy,Drama,0,7.6,495,0,0,N/A,"Jacques Rozier, Alain Raygot","Caroline Cartier, Danièle Croisy, Françoise Guégan","A patient observation on the adventures a group of three young girls spending their three-week summer vacation at a small village, a quotidian that includes cooking, excursions, playing cards and going out with guys, enjoying the simple pleasures life has to offer.",French,tt0070007,movie,N/A,N/A,N/A,"uplifting, funny, emotional",slow,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,1,0,0,0,0,0,0
40,Night and Fog,1956,5.31,0.339,TV-14,TV-14,01 Jan 1956,32 min,32,"Documentary, Short, History",Documentary,Short,0,8.6,22148,0,2,Nominated for 1 BAFTA Award2 wins & 1 nomination total,Jean Cayrol,"Michel Bouquet, Reinhard Heydrich, Heinrich Himmler","One of the most vivid depictions of the horrors of Nazi Concentration Camps. Filmed in 1955 at several concentration camps in Poland, the film combines new color and black and white footage with black and white newsreels, footage shot by the victorious allies, and stills, to tell the story not only of the camps, but to portray the horror of man's brutal inhumanity.",French,tt0048434,movie,N/A,N/A,N/A,neutral,fast,conventional,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,0,0,1,0,0,0,0
41,Ninjababy,2021,7.041,0.432,R,R,21 May 2021,103 min,103,"Comedy, Drama",Comedy,Drama,0,7.2,4245,0,2,20 wins & 17 nominations total,"Johan Fasting, Yngvild Sve Flikke, Inga Sætre","Kristine Kujath Thorp, Arthur Berning, Nader Khademi","Astronaut, forest-keeper, cartoonist. Young Rakel has a whole lot of other plans than becoming a mother. She would rather party, get drunk or stoned instead of sitting hours on the toilet. But she can't ignore it. Is it her or the baby?",Norwegian,tt13821562,movie,N/A,N/A,N/A,"funny, emotional",fast,intimate,general,female,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,1,0,0,0,0,0,0
42,Notturno,2020,6.16,0.358,TV-MA,TV-MA,22 Jan 2021,100 min,100,Documentary,Documentary,Unknown,0,6.6,1359,75,2,7 wins & 15 nominations,Gianfranco Rosi,N/A,Gianfranco Rosi's new documentary is an immersive portrait of those trying to survive in the war-torn Middle East.,"Arabic, Kurdish",tt7945450,movie,N/A,N/A,N/A,neutral,medium,conventional,survival,unknown,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Nun or Never!,2023,6.3,0.365,N/A,N/A,22 Oct 2023,10 min,10,"Animation, Short",Animation,Short,0,0.0,49,0,2,1 win & 5 nominations,Heta Jäälinoja,N/A,A nun digs a man out of the ground and loses her grip on everyday life. Can secrets and harmony coexist?,None,tt28101297,movie,N/A,N/A,N/A,neutral,fast,conventional,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Our Body,2023,6.32,0.366,N/A,N/A,04 Oct 2023,168 min,168,Documentary,Documentary,Unknown,0,7.8,325,0,2,3 wins & 13 nominations,Claire Simon,Claire Simon,Follows doctors and patients at a gynecology ward in France.,"French, English, Spanish",tt26347358,movie,N/A,N/A,N/A,neutral,epic,conventional,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Passages,2023,7.7,0.51,Unrated,Unrated,06 Oct 2023,91 min,91,"Drama, Romance",Drama,Romance,0,6.6,13204,80,2,4 wins & 26 nominations total,"Mauricio Zacharias, Ira Sachs, Arlette Langmann","Franz Rogowski, Ben Whishaw, Adèle Exarchopoulos",A gay couple's marriage is thrown into crisis when one of them impulsively begins a passionate affair with a young woman.,"English, French",tt16252698,movie,N/A,"$551,611",N/A,emotional,medium,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,medium,1,0,0,0,0,1,0,0,0,1,0,0,0
46,"Pepi, Luci, Bom and Other Girls Like Mom",1980,5.26,0.313,Not Rated,Not Rated,15 Aug 1985,82 min,82,Comedy,Comedy,Unknown,0,6.1,6083,0,0,N/A,Pedro Almodóvar,"Carmen Maura, Félix Rotaeta, Alaska","Almodovar's first film of life in Madrid during the punk era and not one for the squeamish. He covers everything from drugs and sexual violence, to female masochism.","Spanish, English",tt0081323,movie,N/A,N/A,N/A,funny,fast,conventional,general,ensemble,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,1,0,0,0,0,0,0
47,Perfumed Nightmare,1977,5.919,0.376,N/A,N/A,N/A,93 min,93,"Comedy, Drama",Comedy,Drama,0,6.9,930,0,1,4 wins,Kidlat Tahimik,"Kidlat Tahimik, Mang Fely, Dolores Santamaria",A Filipino jeepney driver (Kidlat Tahimik) who idolizes America's space program comes to reject the rapid encroachment of technology.,"English, Tagalog, French, German",tt0076341,movie,N/A,N/A,N/A,"funny, emotional",fast,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,1,0,0,0,0,0,0
48,Pleasure,2021,7.061,0.433,R,R,08 Oct 2021,109 min,109,Drama,Drama,Unknown,0,6.3,24938,75,2,10 wins & 13 nominations total,"Ninja Thyberg, Peter Modestij","Sofia Kappel, Zelda Morrison, Evelyn Claire","Ninja Thyberg's debut feature PLEASURE is a journey into the American porn industry and follows 19-year-old Bella from Sweden, who arrives in Los Angeles with the dream of becoming the next big porn star. The film is raw but offers both a human and humorous portrayal of a male-dominated world seen from a female perspective.","English, Swedish",tt8550054,movie,N/A,"$106,789",N/A,emotional,medium,intimate,general,female,surreal,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,0,0,0,0,0,0,0
49,Pussy,2004,5.3,0.315,N/A,N/A,18 Mar 2004,32 min,32,"Comedy, Short",Comedy,Short,0,9.4,121,0,0,N/A,N/A,N/A,Fag hag/vigilante Pussy and her side kick kidnap men to play out their decadent and evil sexual fantasies. Can her ineffectual therapist really help?,English,tt0404351,movie,N/A,N/A,N/A,funny,fast,conventional,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,1,0,0,0,0,0,0
50,Quando o Tempo Cair,2006,5.965,0.378,N/A,N/A,N/A,15 min,15,"Short, Drama",Short,Drama,0,0.0,0,0,0,N/A,"Selton Mello, Marcelo Vindicato","Gabriel Gracindo, Jorge Loredo, Alvaro Diniz Viegas","A retired old man, his unemployed son and the young grandson who isn't aware of anything. They all live together in a small apartment. To try to solve everyone's problems, the elder man tries to get a job but times have changed an...",Portuguese,tt7239032,movie,N/A,N/A,N/A,emotional,fast,intimate,general,male,linear,neutral,redemption,original,low,minimal,low,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Robot Dreams,2023,7.03,0.432,PG-13,PG-13,07 Jun 2024,103 min,103,"Animation, Comedy, Drama",Animation,Comedy,0,7.6,21509,87,2,Nominated for 1 Oscar. 27 wins & 44 nominations total,"Pablo Berger, Sara Varon",Ivan Labanda,The adventures and misfortunes of Dog and Robot in New York City during the 1980s.,None,tt13429870,movie,N/A,"$875,215",N/A,"funny, emotional",fast,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,1,0,0,0,0,0,0
52,Sans Soleil,1983,5.91,0.375,Not Rated,Not Rated,02 Mar 1983,100 min,100,"Documentary, Drama",Documentary,Drama,0,7.7,12697,0,1,5 wins total,Chris Marker,"Amilcar Cabral, Florence Delay, Arielle Dombasle","""He wrote me...."" A woman narrates the thoughts of a world traveler, meditations on time and memory expressed in words and images from places as far-flung as Japan, Guinea-Bissau, Iceland, and San Francisco.","French, Japanese, English, Cantonese, Japanese Sign ",tt0084628,movie,N/A,"$30,878",N/A,emotional,medium,intimate,general,female,non-linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Shine Your Eyes,2020,7.001,0.43,TV-MA,TV-MA,19 Nov 2020,102 min,102,"Drama, Thriller",Drama,Thriller,0,6.4,487,79,2,2 wins & 7 nominations,"Chika Anadu, Francine Barbosa, Maíra Bühler","O.C. Ukeje, Indira Nascimento, Chukwudi Iwuji",A Nigerian musician travels to Brazil to find his long lost brother.,"Portuguese, English, Ibo, Hungarian, Chinese",tt8477336,movie,N/A,N/A,N/A,"suspenseful, emotional",fast,intimate,general,male,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,0,0,0,0,0,0,0
54,Sick of Myself,2022,7.12,0.436,N/A,N/A,09 Sep 2022,97 min,97,"Comedy, Drama, Horror",Comedy,Drama,0,7.1,18415,71,2,7 wins & 10 nominations,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager","Signe and Thomas are in an unhealthy, competitive relationship that takes a vicious turn when Thomas suddenly breaks through as a contemporary artist. In response, Signe makes a desperate attempt to regain her status by creating a new persona hell-bent on attracting attention and sympathy.","Norwegian, Swedish, English",tt18816518,movie,N/A,"$106,156",N/A,"funny, emotional, suspenseful",fast,intimate,love,female,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,1,0,0,0,0,0,0
55,Silvia Prieto,1999,5.929,0.376,R,R,27 May 1999,92 min,92,"Comedy, Drama",Comedy,Drama,0,6.8,1702,0,2,3 wins & 3 nominations,Martín Rejtman,"Rosario Bléfari, Valeria Bertuccelli, Vicentico",A woman in her late-twenties called Silvia Prieto wants to improve herself. Her discovery of a second person also called Silvia Prieto will change her life forever. Maybe not the changes she hoped for.,Spanish,tt0194378,movie,N/A,N/A,N/A,"uplifting, funny, emotional",fast,intimate,general,female,linear,neutral,"redemption, self-discovery",original,low,minimal,low,0,0,0,0,0,1,1,0,0,0,0,0,0
56,Strange Way of Life,2023,7.03,0.432,R,R,06 Oct 2023,31 min,31,"Short, Drama, Western",Short,Drama,0,6.2,11887,0,1,2 nominations total,Pedro Almodóvar,"Ethan Hawke, Pedro Pascal, Pedro Casablanc","After twenty-five years Silva rides a horse across the desert to visit his friend Sheriff Jake. They celebrate the meeting, but the next morning Jake tells him that reason for his trip is not to go down the memory lane of their fr...","Spanish, English",tt13055264,movie,N/A,"$503,992",N/A,emotional,fast,intimate,friendship,male,non-linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,0,0,0,0,0,0,0
57,Super Happy Forever,2024,7.089,0.434,N/A,N/A,27 Sep 2024,94 min,94,"Comedy, Drama, Romance",Comedy,Drama,0,0.0,615,0,2,2 wins & 4 nominations total,"Kohei Igarashi, Kochi Kubodera","Yoshinori Miyata, Hoang Nh Quynh, Hiroki Sano","August 19, 2023. Childhood friends Sano and Miyata visit a resort hotel in Izu, searching for a lost red hat while revisiting places where Sano first met and fell in love with his late wife Nagi five years prior.",Japanese,tt33246838,movie,N/A,N/A,N/A,"funny, emotional",fast,intimate,"family, friendship, love",male,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,1,0,0,1,0,0,0
58,Tale of Cinema,2005,5.869,0.373,Not Rated,Not Rated,27 May 2005,89 min,89,Drama,Drama,Unknown,0,6.9,2038,0,2,2 wins & 3 nominations total,Hong Sang-soo,"Kim Sang-kyung, Uhm Ji-won, Lee Ki-woo","In Seoul, a suicidal student meets a young woman who decides to join him in his fatal gesture. Tongsu, an unsuccessful filmmaker, spots a beautiful young woman, who happens to be the lead actress in the film he has just seen.",Korean,tt0461795,movie,N/A,N/A,N/A,"uplifting, emotional",fast,intimate,general,male,linear,happy,minimal,original,low,minimal,medium,0,0,0,0,0,1,0,0,0,0,0,0,0
59,Tempestad,2016,5.94,0.347,N/A,N/A,19 May 2017,105 min,105,Documentary,Documentary,Unknown,0,8.0,931,78,2,14 wins & 11 nominations,Tatiana Huezo,N/A,"Two women, a voyage in two voices, which, like reflections of a single echo, convey what fear means in the life of a human being. Highways, landscapes, gazes. Mexico from north to south in an era when violence has taken control of our lives, our desires and our dreams. An emotional and evocative journey, steeped not only in loss and pain, but also love, dignity and resistance.",Spanish,tt3800560,movie,N/A,N/A,N/A,thoughtful,medium,conventional,love,unknown,surreal,tragic,minimal,original,low,minimal,low,0,0,0,0,0,0,0,0,0,0,0,0,0
60,The Beast,2023,7.07,0.434,Unrated,Unrated,28 Jul 2024,146 min,146,"Drama, Romance, Sci-Fi",Drama,Romance,0,6.5,10037,80,2,12 wins & 41 nominations total,"Bertrand Bonello, Benjamin Charbit, Guillaume Bréaud","Léa Seydoux, George MacKay, Guslagie Malanda",In the near future artificial intelligence is in control of everyone's lives and human emotions are perceived as a threat.,"French, English",tt14407336,movie,N/A,"$413,978",N/A,emotional,slow,"intimate, surreal",general,unknown,linear,neutral,minimal,original,low,CGI_heavy,medium,0,0,0,0,0,1,0,0,0,1,0,0,1
61,The Bohemian Life,1992,5.97,0.378,Not Rated,Not Rated,29 Jul 1993,103 min,103,"Comedy, Drama, Romance",Comedy,Drama,0,7.6,6870,0,2,5 wins & 2 nominations total,"Henri Murger, Aki Kaurismäki","Matti Pellonpää, Evelyne Didi, André Wilms","Three penniless artists become friends in modern-day Paris: Rodolfo, an Albanian painter with no visa, Marcel, a playwright and magazine editor with no publisher, and Schaunard, a post-modernist composer of execrable noise. Rodolfo falls in love with Mimi, a barmaid. The day he asks her to move in with him, he is deported. Six months later, he sneaks back to Paris, and Mimi leaves her new boyfriend to be with him. Conflicts arise, especially around their poverty, and soon Mimi and Rodolfo separate, as do Marcel and his Musette. The three men scrape together a meal to celebrate All Saints' Day, and Mimi arrives, ill. Can her friends bring her back to health? Can love rekindle?","French, English",tt0105750,movie,N/A,N/A,N/A,"funny, emotional",fast,intimate,"friendship, love",male,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,1,0,0,1,0,0,0
62,The Dreamers,2003,5.98,0.379,NC-17,NC-17,20 Feb 2004,115 min,115,"Drama, Romance",Drama,Romance,0,7.1,139212,63,2,2 wins & 11 nominations total,Gilbert Adair,"Michael Pitt, Louis Garrel, Eva Green","Paris, spring 1968. While most students take the lead in the May 'revolution', a French poet's twin son Theo and daughter Isabelle enjoy the good life in his grand Paris home. As film buffs they meet and 'adopt' modest, conservatively educated Californian student Matthew. With their parents away for a month, they drag him into an orgy of indulgence of all senses, losing all of his and the last of their innocence. A sexual threesome shakes their rapport, yet only the outside reality will break it up.","English, French",tt0309987,movie,N/A,"$2,532,228",N/A,"uplifting, emotional",medium,intimate,family,male,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,0,0,0,1,0,0,0
63,The Fall,2006,6.0,0.38,R,R,30 May 2008,117 min,117,"Adventure, Drama, Fantasy",Adventure,Drama,0,7.8,124174,64,2,4 wins & 11 nominations total,"Dan Gilroy, Nico Soultanakis, Tarsem Singh","Lee Pace, Catinca Untaru, Justine Waddell","At a Los Angeles hospital in the 1920s, Alexandria is a child recovering from a broken arm. She befriends Roy Walker, a movie stunt man with legs paralyzed after a fall. At her request, Roy tells her an elaborate story about six men of widely varied backgrounds who are on a quest to kill a corrupt provincial governor. Between chapters of the story, Roy inveigles Alexandria to scout the hospital's pharmacy for morphine. As Roy's fantastic tale nears its end, Death seems close at hand.","English, Romanian, Latin",tt0460791,movie,N/A,"$2,581,421",N/A,"dark, emotional, exciting",medium,"intimate, surreal","family, friendship",female,linear,tragic,minimal,original,low,CGI_heavy,high,0,0,0,0,0,1,0,0,0,0,0,1,0
64,The Five Devils,2022,7.0,0.43,Unrated,Unrated,12 May 2023,103 min,103,"Drama, Fantasy, Romance",Drama,Fantasy,0,6.7,5318,68,2,3 wins & 7 nominations,"Paul Guilhaume, Léa Mysius","Adèle Exarchopoulos, Swala Emati, Sally Dramé","8-year-old Vicky possesses a special power: a hyperacute sense of smell. She spends her days exploring this gift, and lives happily with her mother Joanne, a swimming teacher whom she adores exclusively - to the despair of her firefighter father. When her mysterious aunt Julia suddenly reappears in their lives, secrets from their past resurface both violently and magically.","French, English",tt13391708,movie,N/A,"$46,666",N/A,emotional,medium,"intimate, surreal",general,female,linear,neutral,minimal,original,low,CGI_heavy,low,0,0,0,0,0,1,0,0,0,1,0,0,0
65,The Good Girls,2018,8.66,0.549,TV-MA,TV-MA,22 Mar 2019,93 min,93,Drama,Drama,Unknown,0,6.9,2108,0,2,14 wins & 25 nominations,"Guadalupe Loaeza, Alejandra Márquez Abella","Ilse Salas, Flavio Medina, Cassandra Ciangherotti","A scathing and glamorous depiction of the wives of upper-class men in 1982 Mexico, inspired by the writings of famed contemporary satirist Guadalupe Loaeza. Sofia lives in the prestigious Las Lomas neighbourhood where life is picture perfect and her biggest dream is to have Julio Iglesias sing at one of her shindigs. However, her cushy routine might be in for a rude awakening as the Mexican economy inches towards a debt crisis, and cracks slowly start to appear in Sofia's perfect world.",Spanish,tt7482212,movie,N/A,N/A,N/A,emotional,medium,intimate,general,female,surreal,neutral,minimal,original,low,minimal,low,0,0,1,0,0,1,0,0,0,0,0,0,0
66,The Kiss,1896,5.4,0.32,Not Rated,Not Rated,01 Apr 1896,1 min,1,"Short, Romance",Short,Romance,0,5.8,3836,0,1,1 win total,John J. McNally,"May Irwin, John C. Rice","In a medium close-up shot of the first kiss ever recorded on screen, the actors, May Irwin and John C. Rice, perform the controversial final scene of the stage musical play, The Widow Jones. Sometimes referred to as ""The May Irwin Kiss"" or ""The Rice-Irwin Kiss"", this tantalising reenactment depicts two fervent lovers cuddle, talk passionately at hair's breadth--and just before the love-smitten gentleman decides to go in--he swiftly brushes his well-groomed moustache to give his chosen one an innocent peck, rather than a hot-blooded kiss. Of course, things have significantly changed since 1896, and what is now viewed as innocuous, it was punishable back then.",None,tt0139738,movie,N/A,N/A,N/A,emotional,fast,intimate,love,male,linear,neutral,redemption,original,low,minimal,low,0,0,0,0,0,0,0,0,0,1,0,0,0
67,The Orphan,2018,6.94,0.427,N/A,N/A,13 Nov 2018,16 min,16,"Short, Drama",Short,Drama,0,6.8,355,0,2,19 wins & 9 nominations,Carolina Markowicz,"Clarisse Abujamra, Kauan Alvarenga, Georgina Castro",Jonathas has been adopted and returned due to his 'different' way. Inspired by true events.,Portuguese,tt8321590,movie,N/A,N/A,N/A,emotional,fast,intimate,general,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,0,0,0,0,0,0,0
68,The Piano Teacher,2001,6.05,0.382,R,R,31 Aug 2001,131 min,131,"Drama, Music, Romance",Drama,Music,0,7.5,77627,79,2,Nominated for 1 BAFTA Award18 wins & 23 nominations total,"Michael Haneke, Elfriede Jelinek","Isabelle Huppert, Annie Girardot, Benoît Magimel","Erika Kohut is a pianist, teaching music. Schubert and Schumann are her forte, but she's not quite at concert level. She's approaching middle age, living with her mother who is domineering then submissive; Erika is a victim then combative. With her students she is severe. She visits a sex shop to watch DVDs; she walks a drive-in theater to stare at couples having sex. Walter is a self-assured student with some musical talent; he auditions for her class and is forthright in his attraction to her. She responds coldly then demands he let her lead. Next she changes the game with a letter, inviting him into her fantasies. How will he respond; how does sex have power over our other faculties?","French, German",tt0254686,movie,N/A,"$1,012,069",N/A,emotional,slow,intimate,general,ensemble,linear,neutral,redemption,original,low,minimal,high,0,0,0,0,0,1,0,0,0,1,0,0,0
69,The Settlers,2023,7.09,0.458,Not Rated,Not Rated,29 Mar 2024,97 min,97,"Crime, Drama, History",Crime,Drama,0,6.9,4848,82,2,8 wins & 20 nominations,"Antonia Girardi, Felipe Gálvez Haberle, Mariano Llinás","Mark Stanley, Camilo Arancibia, Benjamin Westfall","In Chile in 1901, three horseman are paid to protect a vast estate. Accompanying a British soldier and an American mercenary is a mixed-race sniper, who realizes that his true mission is to kill the indigenous population.","Spanish, English",tt10370812,movie,N/A,"$46,035",N/A,"dark, emotional",medium,intimate,general,male,linear,bittersweet,minimal,original,low,minimal,high,0,0,0,0,0,1,0,1,1,0,0,0,0
70,Titane,2021,7.061,0.433,R,R,01 Oct 2021,108 min,108,"Drama, Horror, Sci-Fi",Drama,Horror,0,6.5,61664,75,2,Nominated for 1 BAFTA Award29 wins & 134 nominations total,"Julia Ducournau, Jacques Akchoti, Simonetta Greggio","Vincent Lindon, Agathe Rousselle, Garance Marillier","Alexia suffers a terrible skull injury and has a titanium plate fitted into her head. When she gets out of the hospital, she rejects her parents and embraces passionately the car that almost killed her. The coming years she has problems with her sexuality and meets Vincent. Vincent is a tortured man who tries to preserve his strength by injecting steroids into his aging body. Will they find a way to deal with their emotional problems?",French,tt10944760,movie,N/A,"$1,442,988",N/A,"suspenseful, emotional",medium,"intimate, surreal",family,ensemble,linear,neutral,minimal,original,low,CGI_heavy,medium,0,0,0,0,0,1,0,0,0,0,0,0,1
71,Tokyo Sonata,2008,6.08,0.384,PG-13,PG-13,27 Sep 2008,120 min,120,Drama,Drama,Unknown,0,7.5,12468,80,2,10 wins & 10 nominations total,"Kiyoshi Kurosawa, Max Mannix, Sachiko Tanaka","Teruyuki Kagawa, Kyôko Koizumi, Yû Koyanagi","The wind of change is blowing as a family grapples with unemployment, alienation, mistrust and a lack of communication. When a Japanese salaryman loses his job to outsourcing to China, it is just the beginning of a series of family shattering incidents leading to the implosion of the family unit.",Japanese,tt0938341,movie,N/A,"$278,356",N/A,emotional,medium,intimate,family,male,linear,neutral,redemption,original,low,minimal,high,0,0,0,0,0,1,0,0,0,0,0,0,0
72,Toomas Beneath the Valley of the Wild Wolves,2018,6.23,0.362,N/A,N/A,08 Sep 2019,18 min,18,"Animation, Short, Comedy",Animation,Short,0,6.8,129,0,2,2 wins & 11 nominations,N/A,"Drasko Ivezic, Chintis Lundgren, Leon Lucev","Toomas, an exemplary office worker, has to support his family after losing his job, without telling his wife that he also works as a gigolo.","English, French",tt10325740,movie,N/A,N/A,N/A,funny,fast,conventional,family,male,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,0,1,0,0,0,0,0,0
73,Toxic,2008,5.969,0.378,R,R,08 Jul 2008,88 min,88,"Drama, Thriller",Drama,Thriller,0,3.7,981,0,0,N/A,"Alan Pao, Kyle Kramer, Corey Large","Susan Ward, Corey Large, Master P","The lives of a nightclub owner, a crime boss, a stripper, a bartender, two hitmen, a prostitute and a psychic take a turn for the worse when they are trapped in an escaped mental patient's sinister path of madness and destruction.",English,tt0453560,movie,N/A,N/A,N/A,"suspenseful, emotional",fast,intimate,general,unknown,linear,neutral,tragedy,original,low,minimal,low,0,0,0,0,0,1,0,0,0,0,0,0,0
74,Tripping with Nils Frahm,2020,6.19,0.36,N/A,N/A,03 Dec 2020,87 min,87,"Documentary, Music",Documentary,Music,0,7.9,778,0,0,N/A,N/A,Nils Frahm,An iconic artist at an iconic location. This concert film captures several mesmerizing live performances from the renowned German composer and producer Nils Frahm at the legendary Funkhaus Berlin. Expect soaring ambient and neo-classical piano from one of the greatest contemporary musicians around.,N/A,tt13562678,movie,N/A,N/A,N/A,neutral,fast,conventional,general,unknown,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Twin Peaks,1977,5.32,0.316,N/A,N/A,N/A,50 min,50,N/A,Unknown,Unknown,0,0.0,11,0,0,N/A,N/A,N/A,N/A,English,tt15258268,movie,N/A,N/A,N/A,neutral,fast,conventional,general,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Twin Peaks: The Missing Pieces,2014,6.639,0.412,N/A,N/A,01 Aug 2014,91 min,91,"Drama, Horror, Mystery",Drama,Horror,0,7.5,14452,0,0,N/A,"David Lynch, Mark Frost, Robert Engels","Chris Isaak, Kiefer Sutherland, C.H. Evans","Assembled from the deleted and extended scenes of Twin Peaks: Fire Walk with Me, and showing the untold portion of the FBI's investigation into the murder of Teresa Banks, as well as expanding on the last seven days of Laura Palmer's life, Twin Peaks: The Missing Pieces becomes an integral part of the deeper mysteries surrounding the Twin Peaks series.","English, Norwegian",tt5334704,movie,N/A,N/A,N/A,"dark, suspenseful, emotional",medium,"intimate, surreal",general,unknown,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,0,0,0,0,0,0,0
77,Valparaiso,1963,5.33,0.316,N/A,N/A,01 Sep 1964,27 min,27,"Documentary, Short",Documentary,Short,0,7.5,1405,0,1,1 nomination,Chris Marker,Roger Pigaut,"A travelogue of Valparaiso, Chile, a city built on steep hills. Life is a constant struggle against geography. Neighbourhoods are reached by series of ramps, staircases, and funicular railway elevators. The poorest residents on the hilltops have trouble obtaining water for drinking and washing. There are community dances, a travelling circus, a race course. Boys feed the harbour sealions; a fashionable woman walks her penguin. The ever-present onshore breeze provides fresh air and an ideal environment for kite-flying. The film's second half is in colour, making the switch with the tale of the city's bloody pirate past.","French, Spanish",tt0055715,movie,N/A,N/A,N/A,neutral,fast,conventional,general,female,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,0,0,0,0,0,0,0,0
